case_id,business_description,correct_occupancies_simplified,data_source_type,,,,,,,,,,,,,,,,,,,,,,,
1,"nature of work spinning spinning spinning of yarn, finishing of yarn theek hai machines wagairah pe kaam hota hai na matlab proper
",Yarn Production - Weaving and process subsequent to  yarn production ~ Based on 'yarn spinning',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
2,"haan isme rehta hai sir atthais foot atthais foot se upar ka alag premium aayega usse kam ka ek alag premium aata hai, building welding karte building ka kaam hai na
",Engineering workshop and fabrication works  (Above 9 meters) ~ Based on 'welding work or any kind of workshop work and 28 foot which is more than 9 foot',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
3,"matlab combork shouting jo saleiya wagairah rehta hai wo dalna building construction, achcha construction ka hee kaam hai basically
",Builders - construction incl civil constructions-Excl. blasting and tunneling ~ Based on 'building construction and assuming that no blasting or tunneling is done',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
4,achcha construction company hai na tees logon ka karwana hai theek hai,Builders - construction incl civil constructions-Excl. blasting and tunneling ~ Based on 'building construction and assuming that no blasting or tunneling is done',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
5,khodne kaa kaam h koyla nikaalne k liye,Coal and geological drilling on land ~ Based on 'koyla khodna which means coal digging',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
6,there is installation of some equipments yeh,"Electrical Engineers (not manufacturers) Installation and repair of plant, fittings and Appartus incl. wireless, telephone and telegraph - Work in generating stations, cinemas, factories, theaters, music halls, public halls and similar buildings and roofs of railway station over 9 metres height or where any unit is handled exceeding 12.7 Kilogram in weight ~ Based on 'equipement installatoin or fitting works'",Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
7,work yeh rehta hai smart metre ka project hai usme metre lagane ka rehta hai electrical ka kaam karta hoon,Cable laying installation & erection work - away from shop/yard risk ~  based on 'electrical ka kaam rehta h',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
8,"na road ka se speeing sweeping sweeping haan haan khali sweeing karte hai un log poora, haan road pe road pe subah subah subah se paanch baje se nau dus baje tak kaam hota hai saintation ka poora

","Road paving, tarring and road making ~ based on 'road sweeping'",Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
9,"haan loading unloading toh headerli kya hai khali loading karte hai wo log bas, wo labour rehte hai unka kaam rehta hai gaadi bharne ka
",Loading and unloading ~ based on 'loading and unloading',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
10,"service provider hai koi personal service provide karte hai, achcha saara ka achcha pest control ka hi saara kaam hota hai aur first time check kar rahe hai lete rehte hai aap yeh policy
",Pest control and fumigation - All workers and employees ~ based on 'pest control',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
11,"matlab service mein kya matlab kuch service kar rahe hai install kar rahe hai repair maintenance kis cheez ki service, haan mai wahi hai wo service mein kya hota hai na kahi repairing karna padta hai kahi, messagener jo hota hai wo repairing mein hota hai theek hai
","Electrical Engineers (not manufacturers) Installation and repair of plant, fittings and Appartus incl. wireless, telephone and telegraph - Work in generating stations, cinemas, factories, theaters, music halls, public halls and similar buildings and roofs of railway station over 9 metres height or where any unit is handled exceeding 12.7 Kilogram in weight ~ based on 'installation and maintenance services and no manufacturing'",Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
12,"fabrication erection, tees metre tak rahega",Engineering workshop and fabrication works  (Above 9 meters) ~ Based on 'welding or any kind of fabrication work or any kind of workshop work and 28 foot which is more than 9 foot',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
13,"metro chemical plant hai, petro chemical plant hai",Petrochemical industry - All employees engaged in that industry ~ Based on 'petro plant and not pump',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
14,"i will provide service for our assistance on the customer end, that basically your employee is going to any kind of visit ",Engineering workshop and fabrication works  (Upto 9 meters) ~ Based on 'welding or any kind of fabrication work or any kind of workshop work that is done less than 9 foot from floor',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
15,"nahi production unit mein glass glass production hai toh usme kya hai usme, machine work rehta hai phir packing rehti hai aisa rehta hai quality control rehta hai
",Glass mfg (stained) ~ Based on 'glass manufacturing',Hinglish Transcript,,,,,,,,,,,,,,,,,,,,,,,
